name,position,team,bye,site0,rank0,value0,site1,rank1,tier,posrank,value1,diff,Espn top 100,Rotoworld ranked,Rotoworld top 100,Both top,any top,"R top, E not top","R rank, e not top",big diff
A. Rodgers,QB,GB,7,espn,20,37,rotoworld,19,qbT1,qb1,,-1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Luck,QB,IND,10,espn,25,32,rotoworld,20,qbT1,qb2,,-5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
R. Wilson,QB,SEA,9,espn,36,23,rotoworld,39,qbT2,qb3,,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
P. Manning,QB,DEN,7,espn,38,22,rotoworld,55,qbT2,qb4,,17,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Brees,QB,NO,11,espn,43,18,rotoworld,71,qbT3,qb7,,28,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
B. Roethlisberger,QB,PIT,11,espn,69,7,rotoworld,60,qbT2,qb5,,-9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Ryan,QB,ATL,10,espn,83,4,rotoworld,68,qbT3,qb6,,-15,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
C. Newton,QB,CAR,5,espn,97,2,rotoworld,83,qbT3,qb8,,-14,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
T. Romo,QB,DAL,6,espn,112,2,rotoworld,107,qbT4,qb10,,-5,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
T. Brady,QB,NE,4,espn,116,2,rotoworld,120,qbT4,qb11,,4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
R. Tannehill,QB,MIA,5,espn,148,1,rotoworld,121,qbT4,qb12,,-27,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
E. Manning,QB,NYG,11,espn,150,1,rotoworld,89,qbT4,qb9,,-61,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
P. Rivers,QB,SD,10,espn,166,0,rotoworld,128,qbT4,qb13,,-38,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Stafford,QB,DET,9,espn,171,0,rotoworld,130,qbT4,qb14,,-41,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
C. Kaepernick,QB,SF,10,espn,175,0,rotoworld,152,qbT5,qb18,,-23,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
S. Bradford,QB,PHI,8,espn,178,0,rotoworld,138,qbT5,qb15,,-40,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
C. Palmer,QB,ARI,9,espn,180,0,rotoworld,168,qbT6,qb20,,-12,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
T. Bridgewater,QB,MIN,5,espn,190,0,rotoworld,146,qbT5,qb17,,-44,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Cutler,QB,CHI,7,espn,192,0,rotoworld,170,qbT6,qb21,,-22,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
N. Foles,QB,STL,6,rotoworld,199,,,,,qb27,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Flacco,QB,BAL,9,espn,200,0,rotoworld,145,qbT5,qb16,,-55,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Winston,QB,TB,6,espn,214,0,rotoworld,159,qbT5,qb19,,-55,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
A. Smith,QB,KC,9,espn,243,0,rotoworld,184,qbT6,qb24,,-59,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Mariota,QB,TEN,4,espn,247,0,rotoworld,182,qbT6,qb23,,-65,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
A. Dalton,QB,CIN,7,espn,252,0,rotoworld,172,qbT6,qb22,,-80,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
R. Griffin,QB,WAS,8,espn,260,0,rotoworld,195,qbT6,qb25,,-65,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Carr,QB,OAK,6,espn,292,0,,,,qb26,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
L. Bell,RB,PIT,11,espn,1,55,rotoworld,2,rbT1,rb2,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
E. Lacy,RB,GB,7,espn,2,54,rotoworld,3,rbT1,rb3,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Charles,RB,KC,9,espn,3,54,rotoworld,7,rbT2,rb5,,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Peterson,RB,MIN,5,espn,4,53,rotoworld,8,rbT2,rb6,,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Lynch,RB,SEA,9,espn,5,52,rotoworld,6,rbT2,rb4,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
C. Anderson,RB,DEN,7,espn,7,50,rotoworld,11,rbT2,rb7,,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Forte,RB,CHI,7,espn,8,49,rotoworld,18,rbT3,rb10,,10,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Murray,RB,PHI,8,espn,9,48,rotoworld,1,rbT1,rb1,,-8,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
L. McCoy,RB,BUF,8,espn,11,45,rotoworld,17,rbT3,rb9,,6,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Hill,RB,CIN,7,espn,14,41,rotoworld,15,rbT3,rb8,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Ingram,RB,NO,11,espn,24,32,rotoworld,24,rbT4,rb11,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Morris,RB,WAS,8,espn,28,30,rotoworld,41,rbT4,rb17,,13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
L. Miller,RB,MIA,5,espn,29,29,rotoworld,29,rbT4,rb14,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
C. Hyde,RB,SF,10,espn,33,26,rotoworld,42,rbT4,rb18,,9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Forsett,RB,BAL,9,espn,34,25,rotoworld,25,rbT4,rb12,,-9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Gordon,RB,SD,10,espn,37,22,rotoworld,38,rbT4,rb16,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Stewart,RB,CAR,5,espn,39,21,rotoworld,37,rbT4,rb15,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
F. Gore,RB,IND,10,espn,42,19,rotoworld,28,rbT4,rb13,,-14,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
T. Gurley,RB,STL,6,espn,45,17,rotoworld,43,rbT4,rb19,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Bell,RB,DET,9,espn,46,16,rotoworld,64,rbT5,rb27,,18,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
L. Murray,RB,OAK,6,espn,48,14,rotoworld,46,rbT4,rb21,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
T. Yeldon,RB,JAC,8,espn,50,12,rotoworld,48,rbT5,rb23,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Randle,RB,DAL,6,espn,51,12,rotoworld,77,rbT6,rb31,,26,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
T. Coleman,RB,ATL,10,espn,52,11,rotoworld,54,rbT5,rb25,,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Ellington,RB,ARI,9,espn,53,11,rotoworld,47,rbT5,rb22,,-6,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
G. Bernard,RB,CIN,7,espn,54,10,rotoworld,65,rbT5,rb28,,11,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
R. Jennings,RB,NYG,11,espn,55,10,rotoworld,72,rbT5,rb29,,17,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
C. Spiller,RB,NO,11,espn,62,8,rotoworld,49,rbT5,rb24,,-13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
L. Blount,RB,NE,4,espn,64,7,rotoworld,56,rbT5,rb26,,-8,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
I. Crowell,RB,CLE,11,espn,66,7,rotoworld,79,rbT6,rb32,,13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
C. Ivory,RB,NYJ,5,espn,67,7,rotoworld,87,rbT6,rb35,,20,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
R. Mathews,RB,PHI,8,espn,74,5,rotoworld,95,rbT7,rb39,,21,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. McFadden,RB,DAL,6,espn,78,4,rotoworld,114,rbT8,rb47,,36,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
S. Vereen,RB,NYG,11,espn,79,4,rotoworld,80,rbT6,rb33,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
T. Mason,RB,STL,6,espn,82,4,rotoworld,96,rbT7,rb40,,14,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Martin,RB,TB,6,espn,86,4,rotoworld,86,rbT6,rb34,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Blue,RB,HOU,9,espn,89,3,rotoworld,129,rbT8,rb52,,40,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
A. Abdullah,RB,DET,9,espn,90,3,rotoworld,75,rbT6,rb30,,-15,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
C. Sims,RB,TB,6,espn,91,3,rotoworld,93,rbT6,rb38,,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Freeman,RB,ATL,10,espn,92,3,rotoworld,90,rbT6,rb37,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
B. Sankey,RB,TEN,4,espn,94,3,rotoworld,97,rbT7,rb41,,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Foster,RB,HOU,9,espn,95,3,rotoworld,45,rbT4,rb20,,-50,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
D. Johnson,RB,CLE,11,espn,98,2,rotoworld,131,rbT8,rb53,,33,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
A. Williams,RB,NYG,11,espn,100,2,rotoworld,108,rbT8,rb45,,8,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
L. Taliaferro,RB,BAL,9,espn,101,2,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
F. Jackson,RB,BUF,8,espn,102,2,rotoworld,106,rbT8,rb44,,4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
M. Ball,RB,DEN,7,espn,103,2,rotoworld,153,rbT8,rb61,,50,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Williams,RB,PIT,11,espn,106,2,rotoworld,149,rbT8,rb59,,43,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
K. Davis,RB,KC,9,espn,109,2,rotoworld,104,rbT7,rb43,,-5,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
