Rk,Player,Pos,Tm,Bye
1,D. Murray,RB,PHI,8
2,L. Bell,RB,PIT,11
3,E. Lacy,RB,GB,7
4,D. Bryant,WR,DAL,6
5,A. Brown,WR,PIT,11
6,M. Lynch,RB,SEA,9
7,J. Charles,RB,KC,9
8,A. Peterson,RB,MIN,5
9,R. Gronkowski,TE,NE,4
10,D. Thomas,WR,DEN,7
11,C. Anderson,RB,DEN,7
12,J. Jones,WR,ATL,10
13,O. Beckham,WR,NYG,11
14,C. Johnson,WR,DET,9
15,J. Hill,RB,CIN,7
16,A. Green,WR,CIN,7
17,L. McCoy,RB,BUF,8
18,M. Forte,RB,CHI,7
19,A. Rodgers,QB,GB,7
20,A. Luck,QB,IND,10
21,J. Nelson,WR,GB,7
22,M. Evans,WR,TB,6
23,T. Hilton,WR,IND,10
24,M. Ingram,RB,NO,11
25,J. Forsett,RB,BAL,9
26,A. Jeffery,WR,CHI,7
27,R. Cobb,WR,GB,7
28,F. Gore,RB,IND,10
29,L. Miller,RB,MIA,5
30,J. Graham,TE,SEA,9
31,D. Hopkins,WR,HOU,9
32,K. Benjamin,WR,CAR,5
33,E. Sanders,WR,DEN,7
34,J. Matthews,WR,PHI,8
35,B. Cooks,WR,NO,11
36,A. Johnson,WR,IND,10
37,J. Stewart,RB,CAR,5
38,M. Gordon,RB,SD,10
39,R. Wilson,QB,SEA,9
40,T. Kelce,TE,KC,9
41,A. Morris,RB,WAS,8
42,C. Hyde,RB,SF,10
43,T. Gurley,RB,STL,6
44,J. Edelman,WR,NE,4
45,A. Foster,RB,HOU,9
46,L. Murray,RB,OAK,6
47,A. Ellington,RB,ARZ,9
48,T. Yeldon,RB,JAC,8
49,C. Spiller,RB,NO,11
50,D. Jackson,WR,WAS,8
51,K. Allen,WR,SD,10
52,M. Bryant,WR,PIT,11
53,B. Marshall,WR,NYJ,5
54,T. Coleman,RB,ATL,10
55,P. Manning,QB,DEN,7
56,L. Blount,RB,NE,4
57,S. Watkins,WR,BUF,8
58,G. Tate,WR,DET,9
59,J. Maclin,WR,KC,9
60,B. Roethlisberger,QB,PIT,11
61,A. Cooper,WR,OAK,6
62,G. Olsen,TE,CAR,5
63,M. Bennett,TE,CHI,7
64,J. Bell,RB,DET,9
65,G. Bernard,RB,CIN,7
66,N. Agholor,WR,PHI,8
67,C. Johnson,WR,MIN,5
68,M. Ryan,QB,ATL,10
69,A. Robinson,WR,JAC,8
70,B. Perriman,WR,BAL,9
71,D. Brees,QB,NO,11
72,R. Jennings,RB,NYG,11
73,J. Landry,WR,MIA,5
74,E. Decker,WR,NYJ,5
75,A. Abdullah,RB,DET,9
